report_dt,segment,replenishable_flg,subtraction_flg,target_maturity_days,open_month,close_month,balance,renewal_cnt,operations_in_month,early_withdrawal_in_month,report_month,ew_share
2023-08-31,mass,0,0,90,2023-07,2023-10,3891783194.03,0.0,0.0,-421344232.73,2023-08,0.10826508356794966
2023-08-31,mass,0,0,180,2023-04,2023-10,3687551518.87,0.0,0.0,35154159.56,2023-08,0.009533198215701815
2023-08-31,mass,0,0,365,2022-10,2023-10,3669593096.83,0.0,0.0,-22566194.15,2023-08,0.006149508557091505
2023-08-31,mass,0,0,180,2023-08,2024-02,3589099286.6,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-09,2023-09,3419076833.78,0.0,0.0,-15317245.1,2023-08,0.004479935913889902
2023-08-31,mass,0,0,90,2023-08,2023-11,3374646372.77,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-12,2023-12,3346557326.39,0.0,0.0,-26655736.98,2023-08,0.007965121879072692
2023-08-31,mass,0,0,180,2023-05,2023-10,3214227652.45,0.0,0.0,-29563313.29,2023-08,0.009197641389049023
2023-08-31,mass,0,0,365,2022-08,2023-09,3213423783.25,0.0,0.0,-15005299.43,2023-08,0.00466956755228341
2023-08-31,mass,0,0,365,2022-12,2023-12,3110283669.4,0.0,0.0,-25979257.23,2023-08,0.008352697049980531
2023-08-31,mass,0,0,180,2023-06,2023-11,3109036725.15,0.0,0.0,-47262381.95,2023-08,0.01520161584701762
2023-08-31,mass,0,0,180,2023-04,2023-10,3057105324.17,0.0,0.0,-11519388.45,2023-08,0.003768070520477569
2023-08-31,mass,0,0,365,2023-01,2024-01,3015217214.02,0.0,0.0,-46451746.0,2023-08,0.015405771028372713
2023-08-31,mass,0,0,90,2023-08,2023-11,3000609728.4,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2023-03,2026-03,2991786747.51,0.0,0.0,-67217862.29,2023-08,0.02246746441601962
2023-08-31,mass,0,0,180,2023-08,2024-02,2908775056.12,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-03,2024-03,2891887251.54,0.0,0.0,-27519882.94,2023-08,0.009516236473377376
2023-08-31,mass,0,0,365,2023-06,2024-06,2838783383.86,0.0,0.0,-404842777.29,2023-08,0.1426113664014477
2023-08-31,mass,0,0,180,2023-05,2023-10,2818172415.14,0.0,0.0,-46251879.77,2023-08,0.016412012097457962
2023-08-31,mass,0,0,365,2023-02,2024-02,2807273308.95,0.0,0.0,-41572923.49,2023-08,0.014809004651402988
2023-08-31,mass,0,0,365,2023-02,2024-02,2791132816.53,0.0,0.0,-20630833.99,2023-08,0.007391562976801914
2023-08-31,mass,0,0,180,2023-04,2023-10,2774478650.82,0.0,0.0,-13301657.67,2023-08,0.004794290871933248
2023-08-31,mass,0,0,365,2023-01,2024-01,2728380380.02,0.0,0.0,-21721127.52,2023-08,0.007961180075573178
2023-08-31,mass,0,0,180,2023-06,2023-11,2702468729.86,0.0,0.0,-64435964.96,2023-08,0.02384337115469161
2023-08-31,mass,0,0,90,2023-08,2023-11,2624681231.65,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-07,2023-10,2605265487.29,0.0,0.0,-1787547450.5,2023-08,0.6861287109589007
2023-08-31,mass,0,0,365,2022-11,2023-11,2603673813.06,0.0,0.0,-19225586.55,2023-08,0.007384022704213049
2023-08-31,mass,0,0,365,2023-08,2024-08,2587954167.05,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-10,2023-10,2584481247.58,0.0,0.0,-13274193.05,2023-08,0.005136115056911091
2023-08-31,mass,0,0,180,2023-07,2024-01,2562324908.95,0.0,0.0,-650349067.72,2023-08,0.25381210066232496
2023-08-31,mass,0,0,90,2023-08,2023-11,2552751888.46,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2023-03,2026-03,2513477031.9,0.0,0.0,-47843757.67,2023-08,0.01903488954256873
2023-08-31,mass,0,0,365,2022-09,2023-10,2460235626.39,0.0,0.0,-20173087.58,2023-08,0.008199656717271735
2023-08-31,mass,0,0,90,2023-08,2023-11,2437322134.39,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-10,2023-10,2415247681.87,0.0,0.0,-8749143.15,2023-08,0.003622462083568173
2023-08-31,mass,0,0,365,2023-03,2024-03,2410247638.3,0.0,0.0,-24185103.11,2023-08,0.010034281426392467
2023-08-31,mass,0,0,180,2023-07,2023-12,2381119979.87,0.0,0.0,-137883323.66,2023-08,0.05790691977962736
2023-08-31,mass,0,0,365,2023-05,2024-05,2353771654.91,0.0,0.0,-29984461.06,2023-08,0.012738899713339653
2023-08-31,mass,0,0,365,2023-08,2024-08,2318474382.95,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-06,2024-06,2258840129.85,0.0,0.0,-98175507.14,2023-08,0.043462795725397095
2023-08-31,mass,0,0,180,2023-08,2024-02,2168644702.04,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-01,2165139701.64,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-09,2023-10,2160173235.26,0.0,0.0,-8190566.92,2023-08,0.0037916250355792304
2023-08-31,mass,0,0,180,2023-07,2023-12,2121553631.89,0.0,0.0,-138543995.92,2023-08,0.06530308441770437
2023-08-31,mass,0,0,365,2023-03,2024-03,2107321187.25,0.0,0.0,-12607635.83,2023-08,0.005982778470733567
2023-08-31,mass,0,0,1095,2022-12,2025-12,2089161920.3,0.0,0.0,-34241413.51,2023-08,0.01639002375894492
2023-08-31,mass,0,0,365,2023-05,2024-05,2076905158.79,0.0,0.0,-30985131.85,2023-08,0.014918895896070606
2023-08-31,mass,0,0,90,2023-06,2023-09,1935385559.36,0.0,0.0,-14211934.42,2023-08,0.007343205776889052
2023-08-31,mass,0,0,180,2023-03,2023-09,1934718676.2,0.0,0.0,-6134827.11,2023-08,0.0031709142964647836
2023-08-31,mass,0,0,180,2023-06,2023-12,1817901643.61,0.0,0.0,-44038009.34,2023-08,0.024224638057177318
2023-08-31,mass,0,0,90,2023-08,2023-11,1814846631.12,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-05,2023-11,1801805871.67,0.0,0.0,-15680633.68,2023-08,0.008702732034870347
2023-08-31,mass,0,0,365,2023-06,2024-06,1799502251.95,0.0,0.0,-66464476.21,2023-08,0.03693492249758337
2023-08-31,mass,0,0,1095,2022-11,2025-11,1782691521.06,0.0,0.0,-17070300.4,2023-08,0.00957557726524098
2023-08-31,mass,0,0,90,2023-06,2023-09,1775377558.17,0.0,0.0,-42515105.68,2023-08,0.023947078459087404
2023-08-31,mass,0,0,180,2023-08,2024-02,1768747569.94,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-07,2024-07,1759078058.62,0.0,0.0,-106270453.79,2023-08,0.06041258559803161
2023-08-31,mass,0,0,180,2023-06,2023-12,1725654240.07,0.0,0.0,-61712012.98,2023-08,0.03576151673205213
2023-08-31,mass,0,0,365,2022-10,2023-11,1699099684.87,0.0,0.0,-13504026.42,2023-08,0.007947754060723759
2023-08-31,mass,0,0,365,2022-10,2023-11,1690033073.94,0.0,0.0,-12458966.0,2023-08,0.007372024957449041
2023-08-31,mass,0,0,365,2022-12,2023-12,1686934670.04,0.0,0.0,-12852999.06,2023-08,0.0076191445278051195
2023-08-31,mass,0,0,365,2023-02,2024-03,1681280879.94,0.0,0.0,-11546415.03,2023-08,0.006867630012191691
2023-08-31,mass,0,0,180,2023-08,2024-01,1663063901.36,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-03,2024-03,1661896924.02,0.0,0.0,45966326.32,2023-08,0.027658951440147694
2023-08-31,mass,0,0,180,2023-08,2024-02,1635653251.67,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-12,2023-12,1613422027.72,0.0,0.0,-12154514.93,2023-08,0.00753337609204214
2023-08-31,mass,0,0,90,2023-07,2023-10,1600496929.36,0.0,0.0,-134637531.77,2023-08,0.0841223305713172
2023-08-31,mass,0,0,365,2023-04,2024-04,1591559815.93,0.0,0.0,-19977904.52,2023-08,0.01255240570919181
2023-08-31,mass,0,0,180,2023-05,2023-11,1575168925.72,0.0,0.0,-20346363.06,2023-08,0.012916940353365465
2023-08-31,mass,0,0,1095,2023-02,2026-02,1558923979.62,0.0,0.0,-25617419.56,2023-08,0.01643275739862854
2023-08-31,mass,0,0,1095,2023-04,2026-04,1539308861.45,0.0,0.0,-57670222.04,2023-08,0.03746501009919201
2023-08-31,mass,0,0,1095,2022-12,2025-12,1521630531.99,0.0,0.0,-26323224.81,2023-08,0.017299353723912392
2023-08-31,mass,0,0,90,2023-07,2023-10,1518415327.19,0.0,0.0,-354068903.82,2023-08,0.23318317293019208
2023-08-31,mass,0,0,90,2023-08,2023-11,1455445684.2,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-02,1452750004.37,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-02,2024-03,1422472425.99,0.0,0.0,-16189118.79,2023-08,0.011380971957142043
2023-08-31,mass,0,0,1095,2022-12,2025-12,1413171592.8,0.0,0.0,171700000.0,2023-08,0.12149975337375746
2023-08-31,mass,0,0,365,2023-07,2024-07,1412667254.55,0.0,0.0,-94705059.62,2023-08,0.0670398916057327
2023-08-31,mass,0,0,180,2023-06,2023-12,1406411748.16,0.0,0.0,-218951018.5,2023-08,0.15568059552009025
2023-08-31,mass,0,0,365,2022-11,2023-11,1395114498.66,0.0,0.0,17346000.0,2023-08,0.01243338809585933
2023-08-31,mass,0,0,90,2023-07,2023-10,1390583218.46,0.0,0.0,-388744245.87,2023-08,0.27955482326366227
2023-08-31,mass,0,0,90,2023-08,2023-10,1380810348.49,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2022-11,2025-11,1341548665.03,0.0,0.0,-14920300.88,2023-08,0.011121699323271549
2023-08-31,mass,0,0,180,2023-08,2024-02,1341063832.72,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2023-02,2026-02,1328365669.85,0.0,0.0,-24683364.26,2023-08,0.018581754121052577
2023-08-31,mass,0,0,365,2023-05,2024-06,1323057887.59,0.0,0.0,-136042896.98,2023-08,0.10282459917744588
2023-08-31,mass,0,0,365,2023-08,2024-08,1302270668.29,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2023-04,2026-04,1281513900.05,0.0,0.0,-36657768.72,2023-08,0.02860504963587968
2023-08-31,mass,0,0,180,2023-08,2024-02,1276710147.87,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-02,1260693729.02,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-11,2023-11,1248653682.05,0.0,0.0,-7402248.6,2023-08,0.005928183856269276
2023-08-31,mass,0,0,365,2022-11,2023-12,1243343577.67,0.0,0.0,-8375900.94,2023-08,0.006736594044018198
2023-08-31,mass,0,0,365,2023-01,2024-01,1239813269.68,0.0,0.0,-14450000.0,2023-08,0.011654980917997106
2023-08-31,mass,0,0,180,2023-08,2024-02,1216144608.64,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-11,2023-11,1211448492.44,0.0,0.0,-7643595.23,2023-08,0.006309467779851621
2023-08-31,mass,0,0,365,2022-12,2023-12,1197751102.89,0.0,0.0,-9154738.65,2023-08,0.0076432729871097095
2023-08-31,mass,0,0,1095,2023-01,2026-01,1193903078.18,0.0,0.0,-14632916.09,2023-08,0.012256368508829536
2023-08-31,mass,0,0,1095,2023-02,2026-02,1184786199.85,0.0,0.0,-17530000.0,2023-08,0.014795918455346111
2023-08-31,mass,0,0,1095,2023-03,2026-03,1172609791.05,0.0,0.0,-32024173.73,2023-08,0.02731017084662437
2023-08-31,mass,0,0,365,2022-11,2023-12,1164923131.92,0.0,0.0,-9274296.69,2023-08,0.00796129498666089
2023-08-31,mass,0,0,180,2023-07,2024-01,1160140690.41,0.0,0.0,-79080604.36,2023-08,0.06816466745257636
2023-08-31,mass,0,0,365,2023-02,2024-02,1157393406.58,0.0,0.0,-12383068.97,2023-08,0.01069910101405444
2023-08-31,mass,0,0,180,2023-07,2024-01,1156439252.21,0.0,0.0,-257264984.44,2023-08,0.22246303378958876
2023-08-31,mass,0,0,90,2023-08,2023-12,1150908510.47,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-04,2024-04,1150043741.77,0.0,0.0,-8581588.12,2023-08,0.007461966713363718
2023-08-31,mass,0,0,180,2023-06,2023-11,1125511867.72,0.0,0.0,-23381032.86,2023-08,0.020773688426194925
2023-08-31,mass,0,0,180,2023-06,2023-11,1122398924.58,0.0,0.0,-22988611.14,2023-08,0.02048167602138634
2023-08-31,mass,0,0,180,2023-08,2024-02,1120368044.7,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-02,1118564593.3,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-01,2024-01,1115572591.38,0.0,0.0,-10394923.65,2023-08,0.00931801635350429
2023-08-31,mass,0,0,180,2023-05,2023-10,1098885647.54,0.0,0.0,-15874566.35,2023-08,0.01444605850075238
2023-08-31,mass,0,0,90,2023-08,2023-11,1098156794.87,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-12,2023-12,1080923222.91,0.0,0.0,43969.0,2023-08,4.0677264645706435e-05
2023-08-31,mass,0,0,90,2023-08,2023-10,1065495429.48,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2023-03,2026-03,1051516735.02,0.0,0.0,-74493333.0,2023-08,0.0708436970321572
2023-08-31,mass,0,0,365,2022-08,2023-09,1047723838.24,0.0,0.0,12097827.0,2023-08,0.011546770779141874
2023-08-31,mass,0,0,90,2023-08,2023-10,1044078170.88,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-03,2024-04,1038878208.03,0.0,0.0,-19045566.53,2023-08,0.01833281936495295
2023-08-31,mass,0,0,180,2023-07,2024-01,1033333086.15,0.0,0.0,-284392578.37,2023-08,0.27521869006400634
2023-08-31,mass,0,0,180,2023-08,2024-02,1022456726.32,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-04,2023-09,1019435833.45,0.0,0.0,-15819431.0,2023-08,0.01551782905890554
2023-08-31,mass,0,0,1095,2023-01,2026-01,1010362914.12,0.0,0.0,-16858410.04,2023-08,0.016685499640179527
2023-08-31,mass,0,0,180,2023-04,2023-09,1009025869.82,0.0,0.0,-5685060.36,2023-08,0.005634206743395149
2023-08-31,mass,0,0,180,2023-07,2024-01,999278507.22,0.0,0.0,-82459925.76,2023-08,0.08251946295673276
2023-08-31,mass,0,0,365,2023-08,2024-08,998160236.83,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,1095,2022-11,2025-11,991456678.06,0.0,0.0,20585675.0,2023-08,0.02076306051040005
2023-08-31,mass,0,0,90,2023-05,2023-11,990947365.95,1.0,0.0,,2023-08,
2023-08-31,mass,0,0,90,2023-05,2023-11,988527189.01,1.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2023-03,2024-04,975577504.08,0.0,0.0,-12052220.72,2023-08,0.012353934638299825
2023-08-31,mass,0,0,180,2023-08,2024-02,972537902.3,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,180,2023-08,2024-02,962043323.43,0.0,0.0,,2023-08,
2023-08-31,mass,0,0,365,2022-12,2024-01,959193748.6,0.0,0.0,-7260742.0,2023-08,0.007569630234347839
2023-08-31,mass,0,0,365,2023-04,2024-04,953832083.84,0.0,0.0,2119946.48,2023-08,0.002222557320011065
2023-08-31,mass,0,0,548,2023-06,2024-12,937340563.88,0.0,0.0,-54070000.0,2023-08,0.057684476788440936
2023-08-31,mass,0,0,180,2023-07,2023-12,936141870.81,0.0,0.0,-53119946.89,2023-08,0.05674347932331857
2023-08-31,mass,0,0,365,2023-04,2024-04,932920163.87,0.0,0.0,-8926422.09,2023-08,0.009568259359912252
2023-08-31,mass,0,0,365,2023-08,2024-08,921770318.39,0.0,0.0,,2023-08,
