,report_dt,segment,replenishable_flg,subtraction_flg,month_maturity,target_maturity_days,balance_start,balance_gain,balance,newbusiness,contract_close,early_withdrawal,operations,interests,renewal,universal_weight_id
57,2023-09-30,mass,0,0,3,90,192249661904.47,72003228105.35564,264252890009.82565,82025321565.82362,-11328720526.40556,0.0,0.0,1306627065.9375792,9970161966.98444,2
58,2023-09-30,mass,0,0,6,180,382117718149.66,-37700384523.370514,344417333626.2895,60115510429.75591,-95814706272.18831,-3802812972.288641,0.0,1801624291.3505223,88419662.4516865,3
59,2023-09-30,mass,0,0,12,365,285235225927.33,-31549268328.210426,253685957599.11957,41670631175.9344,-72491577589.00325,-2077828376.470576,0.0,1349506461.3289995,20660994.32674485,5
60,2023-09-30,mass,0,0,18,548,9981287760.35,11136841962.584085,21118129722.934086,11135842160.442123,-57652990.64,-5806437.931939265,0.0,64459230.71390084,0.0,6
61,2023-09-30,mass,0,0,24,730,2164727680.41,560712966.3659856,2725440646.7759857,555049614.2265766,-5580818.616844579,-2724603.483823131,0.0,13968774.240076799,280007.44315542065,6
62,2023-09-30,mass,0,0,36,1095,52152343484.6,237956202.8790363,52390154026.71904,849968913.8436887,-1698386.6396649515,-987355425.3622525,0.0,377041101.03726506,824021.1503350486,7
63,2023-09-30,mass,0,1,12,365,11347734.56,-3042933.105167094,8304801.454832906,0.0,-3059561.33,0.0,0.0,16628.224832905882,0.0,5
64,2023-09-30,mass,0,1,18,548,1306511.43,-9392.787032166687,1297118.6429678332,0.0,-11860.93,0.0,0.0,2468.142967833314,0.0,6
65,2023-09-30,mass,0,1,24,730,5012019.54,-879751.1016491605,4132268.4383508395,0.0,-889856.1353445771,0.0,0.0,10105.033695416689,23872.29465542282,6
66,2023-09-30,mass,0,1,36,1095,10774310.17,27212.85333408309,10801523.023334082,0.0,0.0,0.0,0.0,27212.85333408309,0.0,7
67,2023-09-30,mass,1,0,12,365,5188775.640000001,-4286951.014971666,901824.6250283334,0.0,-4289461.6,0.0,0.0,2510.5850283333566,0.0,5
68,2023-09-30,mass,1,0,18,548,16247568.35,-5648350.513303074,10599217.836696927,0.0,-5674430.020958491,0.0,0.0,26079.507655416863,1231225.13904151,6
69,2023-09-30,mass,1,0,24,730,23229931.34,-1331417.3470489697,21898513.99295103,0.0,-1388378.93,0.0,0.0,56961.58295103028,0.0,6
70,2023-09-30,mass,1,0,36,1095,24128471.39,-3937148.841080028,20191322.548919972,0.0,0.0,0.0,-4000718.7551983837,63569.91411835562,0.0,7
71,2023-09-30,mass,1,1,3,90,489657877.64000005,13530522.161480447,503188399.8014805,91904454.2867029,-78376990.40371045,0.0,0.0,3058.278488000517,44287468.67628955,2
72,2023-09-30,mass,1,1,6,180,8137393379.75,-2667903232.1789193,5469490147.571081,19977327.215264738,-2538428062.455871,0.0,-158693537.33459643,9241040.396283621,3205374842.724129,3
73,2023-09-30,mass,1,1,12,365,3314240027.17,-545876001.031486,2768364026.138514,14491899.597416848,-25306933.131349985,0.0,-549841469.8301283,14780502.332575496,11107206.198650014,5
74,2023-09-30,mass,1,1,18,548,82241966.43,-3257485.508234892,78984480.9217651,1922692.8155878095,-1305220.827955427,0.0,-4040509.4505674094,165551.95470013472,1542074.4920445727,6
75,2023-09-30,mass,1,1,24,730,14630842295.45,-2756966687.3696365,11873875608.080364,8626461.117475979,-268557691.9804568,0.0,-2554872737.4476147,57837280.94095895,140153280.24954316,6
76,2023-09-30,mass,1,1,36,1095,213148439.62,-15060936.468703728,198087503.1512963,1308856.2841639614,-564417.9936903268,0.0,-16360339.92079101,554965.1616136467,2099567.766309673,7
77,2023-09-30,priv,0,0,3,90,208376767713.14,41550301036.61388,249927068749.75388,56965234602.199066,-16807972311.82667,0.0,0.0,1393038746.241479,11266044041.673336,2
78,2023-09-30,priv,0,0,6,180,335130666181.74,-26852948379.903038,308277717801.837,35848532528.80986,-57694067974.148735,-6735834727.600642,0.0,1728421793.0364792,26195876.451261982,3
79,2023-09-30,priv,0,0,12,365,281103474761.74,-21964887288.668175,259138587473.07184,46928707224.73846,-66203294840.22481,-4058004859.118441,0.0,1367705185.9366198,22770470.045191575,5
80,2023-09-30,priv,0,0,18,548,18006651511.89,11878249074.67274,29884900586.56274,11862247703.54756,-67948448.99802253,-33678853.51992807,0.0,117628673.64313088,16459257.881977469,6
81,2023-09-30,priv,0,0,24,730,4798110113.12,3543721026.609417,8341831139.729417,3523065580.093794,0.0,-11678489.270612726,0.0,32333935.786235895,0.0,6
82,2023-09-30,priv,0,0,36,1095,66778062728.89,1207165973.9518216,67985228702.84182,3049271863.515657,0.0,-2328550955.128508,0.0,486445065.56467265,0.0,7
83,2023-09-30,priv,0,1,12,365,1501776.6700000002,-1500471.9139825,1304.7560174999999,0.0,-1500475.33,0.0,0.0,3.4160174999999526,0.0,5
84,2023-09-30,priv,0,1,18,548,2938788.69,735.4314619166544,2939524.1214619162,0.0,0.0,0.0,0.0,735.4314619166544,0.0,6
85,2023-09-30,priv,0,1,24,730,1557898.6,4089.3449475001153,1561987.9449475002,0.0,0.0,0.0,0.0,4089.3449475001153,0.0,6
86,2023-09-30,priv,0,1,36,1095,1438.19,3.655399583333292,1441.8453995833333,0.0,0.0,0.0,0.0,3.655399583333292,0.0,7
87,2023-09-30,priv,1,0,3,90,,103205749.53694879,103205749.53694879,103205749.53694879,0.0,0.0,0.0,0.0,0.0,2
88,2023-09-30,priv,1,0,6,180,,74993494.76410815,74993494.76410815,74993494.76410815,0.0,0.0,0.0,0.0,0.0,3
89,2023-09-30,priv,1,0,12,365,800491.0399999999,44764093.83960585,45564584.879605845,44873407.75509252,-111238.08,0.0,0.0,1924.1645133333514,0.0,5
90,2023-09-30,priv,1,0,18,548,14148907.96,3060539.7982021864,17209447.758202188,6268638.604742603,-3238556.87,0.0,0.0,30458.063459583165,0.0,6
91,2023-09-30,priv,1,0,24,730,14405930.68,4013535.837271011,18419466.517271012,4890874.163137678,-918744.84,0.0,0.0,41406.514133332734,0.0,6
